pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,pm2_5_lag_1,pm2_5_lag_2,pm2_5_lag_3,pm2_5_lag_4,pm2_5_lag_5,pm2_5_lag_6,pm2_5_lag_7,pm2_5_lag_8,pm2_5_lag_9,pm2_5_lag_10,pm2_5_lag_11,pm2_5_lag_12,pm10_lag_1,pm10_lag_2,pm10_lag_3,carbon_monoxide_lag_1,carbon_monoxide_lag_2,carbon_monoxide_lag_3,nitrogen_dioxide_lag_1,nitrogen_dioxide_lag_2,nitrogen_dioxide_lag_3,sulphur_dioxide_lag_1,sulphur_dioxide_lag_2,sulphur_dioxide_lag_3,ozone_lag_1,ozone_lag_2,ozone_lag_3,temperature_2m_lag_1,relative_humidity_2m_lag_1,wind_speed_10m_lag_1,surface_pressure_lag_1,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_dir_lag_1_sin,wind_dir_lag_1_cos
69.2,102.9,440,0.0,10.6,152,14.5,47,6.6,875.9,69.8,70.3,71.5,88.5,84.5,78.5,75.4,75.7,78.2,80.8,82.2,83.4,103.6,103.6,104.1,596.0,1238.0,1840.0,3.8,22.5,40.0,11.4,11.9,12.1,145.0,111.0,78.0,13.9,52.0,6.5,876.8,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.37460659341591235,0.9271838545667873,0.052335956242943835,0.9986295347545738
64.0,95.7,429,0.0,9.8,150,14.8,45,8.0,874.9,69.2,69.8,70.3,71.5,88.5,84.5,78.5,75.4,75.7,78.2,80.8,82.2,102.9,103.6,103.6,440.0,596.0,1238.0,0.0,3.8,22.5,10.6,11.4,11.9,152.0,145.0,111.0,14.5,47.0,6.6,875.9,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.5877852522924734,0.8090169943749473,-0.37460659341591235,0.9271838545667873
62.2,92.7,504,2.8,9.0,141,14.2,49,10.7,874.2,64.0,69.2,69.8,70.3,71.5,88.5,84.5,78.5,75.4,75.7,78.2,80.8,95.7,102.9,103.6,429.0,440.0,596.0,0.0,0.0,3.8,9.8,10.6,11.4,150.0,152.0,145.0,14.8,45.0,8.0,874.9,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.6427876096865396,0.7660444431189778,-0.5877852522924734,0.8090169943749473
62.4,92.7,580,8.8,8.9,132,13.3,55,10.8,873.7,62.2,64.0,69.2,69.8,70.3,71.5,88.5,84.5,78.5,75.4,75.7,78.2,92.7,95.7,102.9,504.0,429.0,440.0,2.8,0.0,0.0,9.0,9.8,10.6,141.0,150.0,152.0,14.2,49.0,10.7,874.2,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.6018150231520483,0.7986355100472928,-0.6427876096865396,0.7660444431189778
63.8,94.1,703,17.4,9.2,120,12.1,61,9.0,873.7,62.4,62.2,64.0,69.2,69.8,70.3,71.5,88.5,84.5,78.5,75.4,75.7,92.7,92.7,95.7,580.0,504.0,429.0,8.8,2.8,0.0,8.9,9.0,9.8,132.0,141.0,150.0,13.3,55.0,10.8,873.7,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.4848096202463369,0.8746197071393959,-0.6018150231520483,0.7986355100472928
66.8,96.2,872,25.2,8.9,105,10.4,70,5.2,873.5,63.8,62.4,62.2,64.0,69.2,69.8,70.3,71.5,88.5,84.5,78.5,75.4,94.1,92.7,92.7,703.0,580.0,504.0,17.4,8.8,2.8,9.2,8.9,9.0,120.0,132.0,141.0,12.1,61.0,9.0,873.7,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.5591929034707466,0.8290375725550418,-0.4848096202463369,0.8746197071393959
75.0,107.8,1083,32.3,9.4,94,10.2,75,3.7,874.4,66.8,63.8,62.4,62.2,64.0,69.2,69.8,70.3,71.5,88.5,84.5,78.5,96.2,94.1,92.7,872.0,703.0,580.0,25.2,17.4,8.8,8.9,9.2,8.9,105.0,120.0,132.0,10.4,70.0,5.2,873.5,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-0.19080899537654467,0.981627183447664,-0.5591929034707466,0.8290375725550418
81.0,116.4,1382,42.3,10.2,79,10.0,76,3.7,875.1,75.0,66.8,63.8,62.4,62.2,64.0,69.2,69.8,70.3,71.5,88.5,84.5,107.8,96.2,94.1,1083.0,872.0,703.0,32.3,25.2,17.4,9.4,8.9,9.2,94.0,105.0,120.0,10.2,75.0,3.7,874.4,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.1908089953765448,0.981627183447664,-0.19080899537654467,0.981627183447664
88.2,127.1,1713,52.2,11.1,62,9.2,81,3.1,875.3,81.0,75.0,66.8,63.8,62.4,62.2,64.0,69.2,69.8,70.3,71.5,88.5,116.4,107.8,96.2,1382.0,1083.0,872.0,42.3,32.3,25.2,10.2,9.4,8.9,79.0,94.0,105.0,10.0,76.0,3.7,875.1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.5877852522924731,0.8090169943749475,0.1908089953765448,0.981627183447664
95.2,136.9,1845,54.2,11.4,56,8.3,85,3.6,875.2,88.2,81.0,75.0,66.8,63.8,62.4,62.2,64.0,69.2,69.8,70.3,71.5,127.1,116.4,107.8,1713.0,1382.0,1083.0,52.2,42.3,32.3,11.1,10.2,9.4,62.0,79.0,94.0,9.2,81.0,3.1,875.3,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.9945218953682733,0.10452846326765346,0.5877852522924731,0.8090169943749475
96.6,138.8,1921,53.5,11.8,52,7.4,89,2.0,874.3,95.2,88.2,81.0,75.0,66.8,63.8,62.4,62.2,64.0,69.2,69.8,70.3,136.9,127.1,116.4,1845.0,1713.0,1382.0,54.2,52.2,42.3,11.4,11.1,10.2,56.0,62.0,79.0,8.3,85.0,3.6,875.2,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,0.9945218953682733,0.10452846326765346
93.1,134.1,1918,48.8,12.1,53,6.7,92,2.0,873.7,96.6,95.2,88.2,81.0,75.0,66.8,63.8,62.4,62.2,64.0,69.2,69.8,138.8,136.9,127.1,1921.0,1845.0,1713.0,53.5,54.2,52.2,11.8,11.4,11.1,52.0,56.0,62.0,7.4,89.0,2.0,874.3,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
90.3,129.9,1795,41.6,12.6,59,6.0,93,2.5,872.8,93.1,96.6,95.2,88.2,81.0,75.0,66.8,63.8,62.4,62.2,64.0,69.2,134.1,138.8,136.9,1918.0,1921.0,1845.0,48.8,53.5,54.2,12.1,11.8,11.4,53.0,52.0,56.0,6.7,92.0,2.0,873.7,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
89.6,129.0,1593,31.7,13.1,70,6.2,87,2.3,872.4,90.3,93.1,96.6,95.2,88.2,81.0,75.0,66.8,63.8,62.4,62.2,64.0,129.9,134.1,138.8,1795.0,1918.0,1921.0,41.6,48.8,53.5,12.6,12.1,11.8,59.0,53.0,52.0,6.0,93.0,2.5,872.8,0.25881904510252074,0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387,0.6293203910498374,-0.7771459614569709,0.7071067811865476,-0.7071067811865475
